id,name,brand,line,description,sku,price,imageUrl,oem,specifications,characteristics,applications_brand,applications_model,applications_motor,applications_years
HLB-1009,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1009,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1009.jpg,,,,DODGE,NITRO,V6 4.0L,2007 - 2011
HLB-1009,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1009,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1009.jpg,,,,VOLKSWAGEN,ROUTAN,V6 4.0L,2009 - 2010
HLB-1010,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1010,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1010.jpg,,,,"HONDA ",CIVIC,L4 1.3L,2003-2011
HLB-1011,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1011,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1011.jpg,,,,AUDI,A1,L4 1.4L,2011 - 2017
HLB-1011,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1011,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1011.jpg,,,,AUDI,A3,L4 1.4L,2007 - 2013
HLB-1011,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1011,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1011.jpg,,,,VOLKSWAGEN,GOLF,L4 1.4L,2011 - 2016
HLB-1012,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1012,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1012.jpg,,,,JEEP,WRANGLER,V6 3.8L,2007 - 2011
HLB-1013,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1013,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1013.jpg,,,25 DIENTES,CHEVROLET,ASTRA,L4 2.0L,2006 - 2008
HLB-1013,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1013,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1013.jpg,,,25 DIENTES,CHEVROLET,ASTRA,L4 2.4L,2004 - 2006
HLB-1014,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1014,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1014.jpg,,,25 DIENTES,CHEVROLET,ASTRA,L4 2.0L,2004 - 2006
HLB-1014,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1014,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1014.jpg,,,25 DIENTES,CHEVROLET,LUV,L4 2.2L,2000 - 2005
HLB-1015,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1015,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1015.jpg,,,,CHRYSLER,CONCORDE,V6 3.5L,1997 - 1997
HLB-1016,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1016,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1016.jpg,,,,FORD,FIESTA,L4 1.6L,2011 - 2017
HLB-1016,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-1016,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-1016.jpg,,,,FORD,FUSION,L4 1.6L,2013 - 2014
HLB-10017,BOMBA DE AGUA,POLAR,,BOMBA DE AGUA,HLB-10017,Cotizar,/IMAGENES BOMBAS DE AGUA HLB/HLB-10017.jpg,,,19 DIENTES,CHEVROLET,CORSA,L4 1.8L,2003 - 2008
